HOME_TEAM,AWAY_TEAM,SEASON,DATE,REFEREE,HOME_TEAM_LAST_5_HOME_WINS,AWAY_TEAM_LAST_5_HOME_WINS,HOME_TEAM_LAST_5_HOME_DRAWS,AWAY_TEAM_LAST_5_HOME_DRAWS,HOME_TEAM_LAST_5_HOME_LOSSES,AWAY_TEAM_LAST_5_HOME_LOSSES,HOME_TEAM_LAST_5_AWAY_WINS,AWAY_TEAM_LAST_5_AWAY_WINS,HOME_TEAM_LAST_5_AWAY_DRAWS,AWAY_TEAM_LAST_5_AWAY_DRAWS,HOME_TEAM_LAST_5_AWAY_LOSSES,AWAY_TEAM_LAST_5_AWAY_LOSSES,HOME_TEAM_WINS_LAST_5,AWAY_TEAM_WINS_LAST_5,HOME_TEAM_DRAWS_LAST_5,AWAY_TEAM_DRAWS_LAST_5,HOME_TEAM_LOSSES_LAST_5,AWAY_TEAM_LOSSES_LAST_5,HOME_TEAM_GD_LAST_5,AWAY_TEAM_GD_LAST_5,HOME_TEAM_PTS,AWAY_TEAM_PTS,HOME_TEAM_POSITION,AWAY_TEAM_POSITION,HOME_TEAM_SHOTS_LAST_5,AWAY_TEAM_SHOTS_LAST_5,HOME_TEAM_SHOTS_ON_TARGET_LAST_5,AWAY_TEAM_SHOTS_ON_TARGET_LAST_5,H2H_HOME_TEAM_PTS,H2H_AWAY_TEAM_PTS,H2H_HOME_TEAM_GOALS,H2H_AWAY_TEAM_GOALS,DIFF_HA_LAST_5_HOME_WINS,DIFF_HA_LAST_5_HOME_DRAWS,DIFF_HA_LAST_5_HOME_LOSSES,DIFF_HA_LAST_5_AWAY_WINS,DIFF_HA_LAST_5_AWAY_DRAWS,DIFF_HA_LAST_5_AWAY_LOSSES,DIFF_HA_LAST_5_WINS,DIFF_HA_LAST_5_DRAWS,DIFF_HA_LAST_5_LOSSES,DIFF_HA_GD_LAST_5,DIFF_HA_PTS_THIS_SEASON,DIFF_HA_CURRENT_POSITION,DIFF_HA_SHOTS_LAST_5,DIFF_HA_SHOTS_ON_TARGET_LAST_5,DIFF_HA_H2H_PTS,DIFF_HA_H2H_GOALS,HOME_TEAM_BIG_6_FLAG,AWAY_TEAM_BIG_6_FLAG,HOME_TEAM_PROMOTED_FROM_LAST_SEASON_FLAG,AWAY_TEAM_PROMOTED_FROM_LAST_SEASON_FLAG,SEASON_MONTH_NUM,HOME_TEAM_GAME_NUM,AWAY_TEAM_GAME_NUM,RESULT,FTHG,FTAG,DIFF_HA_FT_GOALS,TOT_GOALS
Crystal Palace,Aston Villa,2013/2014,2014-04-12,H Webb,3.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,0.0,2.0,3.0,2.0,-3.0,34.0,34.0,13,12,53.0,57.0,19.0,18.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,5.0,0.0,1,-4.0,1.0,3.0,1.0,0,0,1,0,9,33,33,Home Win,1.0,0.0,1.0,1.0
Cardiff,Aston Villa,2013/2014,2014-02-11,C Foy,2.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,5.0,3.0,1.0,1.0,0.0,1.0,4.0,3.0,-8.0,-3.0,21.0,27.0,19,12,54.0,53.0,20.0,16.0,0.0,3.0,0.0,2.0,1.0,0.0,-1.0,-1.0,-1.0,2.0,0.0,-1.0,1.0,-5.0,-6.0,7,1.0,4.0,-3.0,-2.0,0,0,1,0,7,26,26,Draw,0.0,0.0,0.0,0.0
Fulham,Man City,2013/2014,2013-12-21,K Friend,2.0,5.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,1.0,4.0,2.0,1.0,4.0,0.0,1.0,4.0,0.0,-6.0,13.0,13.0,32.0,18,4,73.0,87.0,22.0,32.0,0.0,6.0,1.0,4.0,-3.0,0.0,3.0,-1.0,-1.0,2.0,-3.0,-1.0,4.0,-19.0,-19.0,14,-14.0,-10.0,-6.0,-3.0,0,1,0,0,5,17,17,Home Loss,2.0,4.0,-2.0,6.0
Liverpool,Man City,2013/2014,2014-04-13,M Clattenburg,5.0,4.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,2.0,0.0,0.0,5.0,4.0,0.0,1.0,0.0,0.0,12.0,13.0,74.0,70.0,1,1,85.0,73.0,36.0,31.0,2.0,5.0,5.0,6.0,1.0,0.0,-1.0,1.0,-1.0,0.0,1.0,-1.0,0.0,-1.0,4.0,0,12.0,5.0,-3.0,-1.0,1,1,0,0,9,34,32,Home Win,3.0,2.0,1.0,5.0
Newcastle,Man City,2013/2014,2014-01-12,M Jones,3.0,5.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,1.0,2.0,1.0,2.0,5.0,1.0,0.0,2.0,0.0,5.0,8.0,33.0,44.0,8,2,76.0,96.0,25.0,31.0,0.0,9.0,1.0,11.0,-2.0,1.0,1.0,0.0,-1.0,1.0,-3.0,1.0,2.0,-3.0,-11.0,6,-20.0,-6.0,-9.0,-10.0,0,1,0,0,6,21,21,Home Loss,0.0,2.0,-2.0,2.0
West Brom,Man City,2013/2014,2013-12-04,C Foy,2.0,5.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,0.0,2.0,2.0,-2.0,14.0,15.0,25.0,12,3,60.0,103.0,15.0,36.0,0.0,6.0,1.0,3.0,-3.0,2.0,1.0,0.0,2.0,-2.0,-2.0,2.0,0.0,-16.0,-10.0,9,-43.0,-21.0,-6.0,-2.0,0,1,0,0,5,14,14,Home Loss,2.0,3.0,-1.0,5.0
Arsenal,Man City,2013/2014,2014-03-29,M Dean,3.0,4.0,2.0,0.0,0.0,1.0,2.0,4.0,1.0,1.0,2.0,0.0,2.0,4.0,1.0,1.0,2.0,0.0,-3.0,11.0,63.0,66.0,4,1,54.0,77.0,23.0,28.0,1.0,7.0,4.0,9.0,-1.0,2.0,-1.0,-2.0,0.0,2.0,-2.0,0.0,2.0,-14.0,-3.0,3,-23.0,-5.0,-6.0,-5.0,1,1,0,0,8,32,30,Draw,1.0,1.0,0.0,2.0
Everton,Man City,2013/2014,2014-05-03,L Probert,4.0,3.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,2.0,1.0,3.0,3.0,0.0,1.0,2.0,1.0,3.0,6.0,69.0,77.0,5,2,77.0,79.0,23.0,29.0,4.0,4.0,4.0,4.0,1.0,-1.0,0.0,0.0,-1.0,1.0,0.0,-1.0,1.0,-3.0,-8.0,3,-2.0,-6.0,0.0,0.0,0,1,0,0,10,37,36,Home Loss,2.0,3.0,-1.0,5.0
Swansea,Man City,2013/2014,2014-01-01,P Dowd,1.0,5.0,3.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0,2.0,0.0,4.0,3.0,1.0,2.0,0.0,-2.0,7.0,21.0,41.0,11,2,59.0,95.0,11.0,30.0,1.0,7.0,0.0,4.0,-4.0,3.0,1.0,-1.0,0.0,1.0,-4.0,2.0,2.0,-9.0,-20.0,9,-36.0,-19.0,-6.0,-4.0,0,1,0,0,6,20,20,Home Loss,2.0,3.0,-1.0,5.0
Norwich,Man City,2013/2014,2014-02-08,J Moss,1.0,5.0,2.0,0.0,2.0,0.0,1.0,4.0,2.0,1.0,2.0,0.0,1.0,4.0,2.0,0.0,2.0,1.0,-2.0,8.0,24.0,53.0,13,2,81.0,101.0,20.0,32.0,3.0,6.0,6.0,13.0,-4.0,2.0,2.0,-3.0,1.0,2.0,-3.0,2.0,1.0,-10.0,-29.0,11,-20.0,-12.0,-3.0,-7.0,0,1,0,0,7,25,25,Draw,0.0,0.0,0.0,0.0
Man United,Man City,2013/2014,2014-03-25,M Oliver,2.0,4.0,1.0,0.0,2.0,1.0,2.0,4.0,1.0,1.0,2.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,7.0,51.0,63.0,7,1,63.0,89.0,20.0,27.0,3.0,6.0,5.0,8.0,-2.0,1.0,1.0,-2.0,0.0,2.0,0.0,0.0,0.0,-3.0,-12.0,6,-26.0,-7.0,-3.0,-3.0,1,1,0,0,8,31,29,Home Loss,0.0,3.0,-3.0,3.0
Tottenham,Man City,2013/2014,2014-01-29,A Marriner,2.0,5.0,2.0,0.0,1.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,4.0,5.0,1.0,0.0,0.0,0.0,8.0,7.0,43.0,50.0,4,2,70.0,95.0,23.0,29.0,3.0,6.0,4.0,9.0,-3.0,2.0,1.0,0.0,-1.0,1.0,-1.0,1.0,0.0,1.0,-7.0,2,-25.0,-6.0,-3.0,-5.0,1,1,0,0,6,23,23,Home Loss,1.0,5.0,-4.0,6.0
Southampton,Man City,2013/2014,2013-12-07,A Taylor,4.0,5.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,3.0,1.0,4.0,1.0,0.0,3.0,1.0,-2.0,16.0,22.0,28.0,8,3,65.0,103.0,23.0,35.0,3.0,3.0,5.0,4.0,-1.0,0.0,1.0,-1.0,2.0,-1.0,-3.0,1.0,2.0,-18.0,-6.0,5,-38.0,-12.0,0.0,1.0,0,1,0,0,5,15,15,Draw,1.0,1.0,0.0,2.0
Crystal Palace,Man City,2013/2014,2014-04-27,H Webb,3.0,3.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,2.0,0.0,2.0,0.0,1.0,7.0,4.0,43.0,74.0,11,3,59.0,78.0,23.0,27.0,0.0,3.0,0.0,1.0,0.0,-1.0,1.0,0.0,0.0,0.0,3.0,-2.0,-1.0,3.0,-31.0,8,-19.0,-4.0,-3.0,-1.0,0,1,1,0,9,36,35,Home Loss,0.0,2.0,-2.0,2.0
Hull,Man City,2013/2014,2014-03-15,L Mason,1.0,4.0,1.0,0.0,3.0,1.0,1.0,4.0,1.0,1.0,3.0,0.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,6.0,30.0,57.0,12,1,71.0,107.0,26.0,31.0,0.0,3.0,0.0,2.0,-3.0,1.0,2.0,-3.0,0.0,3.0,-1.0,0.0,1.0,-4.0,-27.0,11,-36.0,-5.0,-3.0,-2.0,0,1,1,0,8,29,27,Home Loss,0.0,2.0,-2.0,2.0
Fulham,West Ham,2013/2014,2014-01-01,M Clattenburg,1.0,1.0,0.0,2.0,4.0,2.0,1.0,0.0,0.0,1.0,4.0,4.0,2.0,0.0,0.0,2.0,3.0,3.0,-8.0,-7.0,16.0,15.0,18,19,70.0,51.0,27.0,15.0,3.0,6.0,3.0,7.0,0.0,-2.0,2.0,1.0,-1.0,0.0,2.0,-2.0,0.0,-1.0,1.0,-1,19.0,12.0,-3.0,-4.0,0,0,0,0,6,20,20,Home Win,2.0,1.0,1.0,3.0
Liverpool,West Ham,2013/2014,2013-12-07,M Oliver,4.0,0.0,0.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,-3.0,27.0,13.0,5,17,92.0,71.0,35.0,23.0,4.0,1.0,3.0,2.0,4.0,-1.0,-3.0,0.0,2.0,-2.0,1.0,0.0,-1.0,7.0,14.0,-12,21.0,12.0,3.0,1.0,1,0,0,0,5,15,15,Home Win,4.0,1.0,3.0,5.0
Stoke,West Ham,2013/2014,2014-03-15,C Pawson,2.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,4.0,2.0,1.0,4.0,3.0,0.0,1.0,1.0,0.0,7.0,31.0,31.0,11,11,33.0,49.0,17.0,19.0,4.0,4.0,2.0,2.0,0.0,1.0,-1.0,-2.0,0.0,2.0,-3.0,3.0,0.0,-7.0,0.0,0,-16.0,-2.0,0.0,0.0,0,0,0,0,8,30,29,Home Win,3.0,1.0,2.0,4.0
West Brom,West Ham,2013/2014,2014-04-26,M Dean,0.0,3.0,4.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,3.0,3.0,1.0,2.0,2.0,0.0,2.0,3.0,-3.0,-2.0,33.0,37.0,15,13,57.0,56.0,23.0,16.0,2.0,5.0,4.0,6.0,-3.0,4.0,-1.0,0.0,0.0,0.0,-1.0,2.0,-1.0,-1.0,-4.0,2,1.0,7.0,-3.0,-2.0,0,0,0,0,9,35,36,Home Win,1.0,0.0,1.0,1.0
Man City,West Ham,2013/2014,2014-05-11,M Atkinson,4.0,2.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0,4.0,9.0,-3.0,83.0,40.0,1,12,87.0,65.0,31.0,18.0,7.0,1.0,5.0,2.0,2.0,1.0,-3.0,2.0,1.0,-3.0,3.0,1.0,-4.0,12.0,43.0,-11,22.0,13.0,6.0,3.0,1,0,0,0,10,38,38,Home Win,2.0,0.0,2.0,2.0
Arsenal,West Ham,2013/2014,2014-04-15,K Friend,2.0,4.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,0.0,2.0,3.0,-8.0,-3.0,64.0,37.0,5,11,57.0,49.0,20.0,13.0,9.0,0.0,11.0,3.0,-2.0,3.0,-1.0,-1.0,0.0,1.0,-1.0,2.0,-1.0,-5.0,27.0,-6,8.0,7.0,9.0,8.0,1,0,0,0,9,34,34,Home Win,3.0,1.0,2.0,4.0
Aston Villa,West Ham,2013/2014,2014-02-08,M Dean,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,1.0,27.0,22.0,10,18,50.0,44.0,20.0,13.0,4.0,4.0,2.0,2.0,0.0,-1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,5.0,-8,6.0,7.0,0.0,0.0,0,0,0,0,7,25,25,Home Loss,0.0,2.0,-2.0,2.0
Chelsea,West Ham,2013/2014,2014-01-29,N Swarbrick,5.0,1.0,0.0,2.0,0.0,2.0,3.0,1.0,1.0,0.0,1.0,4.0,5.0,1.0,0.0,1.0,0.0,3.0,9.0,-3.0,49.0,18.0,3,19,68.0,60.0,28.0,19.0,6.0,3.0,6.0,3.0,4.0,-2.0,-2.0,2.0,1.0,-3.0,4.0,-1.0,-3.0,12.0,31.0,-16,8.0,9.0,3.0,3.0,1,0,0,0,6,23,23,Draw,0.0,0.0,0.0,0.0
Everton,West Ham,2013/2014,2014-03-01,J Moss,4.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,3.0,0.0,-5.0,8.0,45.0,31.0,6,10,63.0,44.0,19.0,19.0,9.0,0.0,7.0,3.0,2.0,-1.0,-1.0,-1.0,1.0,0.0,-3.0,0.0,3.0,-13.0,14.0,-4,19.0,0.0,9.0,4.0,0,0,0,0,8,27,28,Home Win,1.0,0.0,1.0,1.0
Sunderland,West Ham,2013/2014,2014-03-31,H Webb,1.0,3.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,4.0,3.0,-8.0,-2.0,25.0,34.0,18,11,55.0,43.0,14.0,12.0,5.0,2.0,4.0,1.0,-2.0,2.0,0.0,0.0,0.0,0.0,-2.0,1.0,1.0,-6.0,-9.0,7,12.0,2.0,3.0,3.0,0,0,0,0,8,30,32,Home Loss,1.0,2.0,-1.0,3.0
Man United,West Ham,2013/2014,2013-12-21,M Jones,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,-4.0,25.0,14.0,8,17,64.0,61.0,23.0,18.0,4.0,1.0,3.0,2.0,1.0,0.0,-1.0,1.0,1.0,-2.0,0.0,1.0,-1.0,5.0,11.0,-9,3.0,5.0,3.0,1.0,1,0,0,0,5,17,17,Home Win,3.0,1.0,2.0,4.0
Crystal Palace,West Ham,2013/2014,2013-12-03,L Mason,1.0,0.0,1.0,1.0,3.0,4.0,1.0,1.0,0.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,-4.0,-2.0,7.0,13.0,20,17,56.0,75.0,15.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-2.0,2.0,0.0,-1.0,1.0,-2.0,-6.0,3,-19.0,-10.0,0.0,0.0,0,0,1,0,5,14,14,Home Win,1.0,0.0,1.0,1.0
