HOME_TEAM,AWAY_TEAM,SEASON,DATE,REFEREE,HOME_TEAM_LAST_5_HOME_WINS,AWAY_TEAM_LAST_5_HOME_WINS,HOME_TEAM_LAST_5_HOME_DRAWS,AWAY_TEAM_LAST_5_HOME_DRAWS,HOME_TEAM_LAST_5_HOME_LOSSES,AWAY_TEAM_LAST_5_HOME_LOSSES,HOME_TEAM_LAST_5_AWAY_WINS,AWAY_TEAM_LAST_5_AWAY_WINS,HOME_TEAM_LAST_5_AWAY_DRAWS,AWAY_TEAM_LAST_5_AWAY_DRAWS,HOME_TEAM_LAST_5_AWAY_LOSSES,AWAY_TEAM_LAST_5_AWAY_LOSSES,HOME_TEAM_WINS_LAST_5,AWAY_TEAM_WINS_LAST_5,HOME_TEAM_DRAWS_LAST_5,AWAY_TEAM_DRAWS_LAST_5,HOME_TEAM_LOSSES_LAST_5,AWAY_TEAM_LOSSES_LAST_5,HOME_TEAM_GD_LAST_5,AWAY_TEAM_GD_LAST_5,HOME_TEAM_PTS,AWAY_TEAM_PTS,HOME_TEAM_POSITION,AWAY_TEAM_POSITION,HOME_TEAM_SHOTS_LAST_5,AWAY_TEAM_SHOTS_LAST_5,HOME_TEAM_SHOTS_ON_TARGET_LAST_5,AWAY_TEAM_SHOTS_ON_TARGET_LAST_5,H2H_HOME_TEAM_PTS,H2H_AWAY_TEAM_PTS,H2H_HOME_TEAM_GOALS,H2H_AWAY_TEAM_GOALS,DIFF_HA_LAST_5_HOME_WINS,DIFF_HA_LAST_5_HOME_DRAWS,DIFF_HA_LAST_5_HOME_LOSSES,DIFF_HA_LAST_5_AWAY_WINS,DIFF_HA_LAST_5_AWAY_DRAWS,DIFF_HA_LAST_5_AWAY_LOSSES,DIFF_HA_LAST_5_WINS,DIFF_HA_LAST_5_DRAWS,DIFF_HA_LAST_5_LOSSES,DIFF_HA_GD_LAST_5,DIFF_HA_PTS_THIS_SEASON,DIFF_HA_CURRENT_POSITION,DIFF_HA_SHOTS_LAST_5,DIFF_HA_SHOTS_ON_TARGET_LAST_5,DIFF_HA_H2H_PTS,DIFF_HA_H2H_GOALS,HOME_TEAM_BIG_6_FLAG,AWAY_TEAM_BIG_6_FLAG,HOME_TEAM_PROMOTED_FROM_LAST_SEASON_FLAG,AWAY_TEAM_PROMOTED_FROM_LAST_SEASON_FLAG,SEASON_MONTH_NUM,HOME_TEAM_GAME_NUM,AWAY_TEAM_GAME_NUM,RESULT,FTHG,FTAG,DIFF_HA_FT_GOALS,TOT_GOALS
Liverpool,Norwich,2012/2013,2013-01-19,M Oliver,4.0,3.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0,4.0,7.0,-4.0,31.0,26.0,8,12,89.0,52.0,50.0,22.0,7.0,1.0,9.0,3.0,1.0,0.0,-1.0,1.0,-1.0,0.0,3.0,-1.0,-2.0,11.0,5.0,-4,37.0,28.0,6.0,6.0,1,0,0,0,6,23,23,Home Win,5.0,0.0,5.0,5.0
QPR,Norwich,2012/2013,2013-02-02,J Moss,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,3.0,2.0,1.0,3.0,-2.0,-7.0,16.0,27.0,20,13,40.0,47.0,22.0,21.0,1.0,7.0,3.0,5.0,-1.0,1.0,0.0,0.0,1.0,-1.0,1.0,1.0,-2.0,5.0,-11.0,7,-7.0,1.0,-6.0,-2.0,0,0,0,0,7,25,25,Draw,0.0,0.0,0.0,0.0
Wigan,Norwich,2012/2013,2013-03-30,H Webb,1.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,-3.0,-3.0,27.0,34.0,17,13,60.0,36.0,42.0,23.0,2.0,5.0,3.0,4.0,0.0,-2.0,2.0,1.0,0.0,-1.0,1.0,-2.0,1.0,0.0,-7.0,4,24.0,19.0,-3.0,-1.0,0,0,0,0,8,30,31,Home Win,1.0,0.0,1.0,1.0
Stoke,Norwich,2012/2013,2013-04-27,A Taylor,1.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,-3.0,-2.0,37.0,38.0,15,13,53.0,52.0,20.0,31.0,4.0,4.0,2.0,2.0,0.0,-3.0,3.0,0.0,-2.0,2.0,0.0,-1.0,1.0,-1.0,-1.0,2,1.0,-11.0,0.0,0.0,0,0,0,0,9,35,35,Home Win,1.0,0.0,1.0,1.0
West Brom,Norwich,2012/2013,2012-12-22,M Atkinson,2.0,4.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,0.0,1.0,3.0,1.0,2.0,3.0,0.0,-3.0,3.0,27.0,25.0,6,8,57.0,50.0,31.0,32.0,3.0,3.0,2.0,2.0,-2.0,1.0,1.0,1.0,-3.0,2.0,-2.0,-1.0,3.0,-6.0,2.0,-2,7.0,-1.0,0.0,0.0,0,0,0,0,5,18,18,Home Win,2.0,1.0,1.0,3.0
Man City,Norwich,2012/2013,2013-05-19,M Halsey,5.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,4.0,3.0,2.0,1.0,0.0,1.0,3.0,2.0,1.0,78.0,41.0,2,11,87.0,49.0,54.0,26.0,9.0,0.0,15.0,5.0,3.0,-2.0,-1.0,2.0,0.0,-2.0,1.0,1.0,-2.0,1.0,37.0,-9,38.0,28.0,9.0,10.0,1,0,0,0,10,38,38,Home Loss,2.0,3.0,-1.0,5.0
Arsenal,Norwich,2012/2013,2013-04-13,M Jones,4.0,1.0,1.0,4.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,3.0,4.0,0.0,0.0,3.0,1.0,2.0,6.0,-5.0,56.0,35.0,5,14,83.0,32.0,51.0,20.0,4.0,4.0,5.0,5.0,3.0,-3.0,0.0,2.0,-1.0,-1.0,4.0,-3.0,-1.0,11.0,21.0,-9,51.0,31.0,0.0,0.0,1,0,0,0,9,32,33,Home Win,3.0,1.0,2.0,4.0
Everton,Norwich,2012/2013,2012-11-24,M Jones,3.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,0.0,0.0,3.0,20.0,14.0,5,12,90.0,53.0,48.0,25.0,2.0,2.0,3.0,3.0,1.0,0.0,-1.0,1.0,0.0,-1.0,-2.0,1.0,1.0,-3.0,6.0,-7,37.0,23.0,0.0,0.0,0,0,0,0,4,13,13,Draw,1.0,1.0,0.0,2.0
Sunderland,Norwich,2012/2013,2013-03-17,C Foy,1.0,1.0,2.0,3.0,2.0,1.0,2.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,1.0,3.0,4.0,1.0,-5.0,-3.0,30.0,33.0,15,13,51.0,43.0,28.0,29.0,3.0,6.0,5.0,4.0,0.0,-1.0,1.0,2.0,-1.0,-1.0,-1.0,-2.0,3.0,-2.0,-3.0,2,8.0,-1.0,-3.0,1.0,0,0,0,0,8,30,30,Draw,1.0,1.0,0.0,2.0
Swansea,Norwich,2012/2013,2012-12-08,H Webb,2.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0,3.0,1.0,3.0,2.0,2.0,3.0,0.0,0.0,5.0,2.0,23.0,19.0,6,12,62.0,44.0,38.0,22.0,0.0,6.0,3.0,6.0,-1.0,2.0,-1.0,1.0,-3.0,2.0,1.0,-1.0,0.0,3.0,4.0,-6,18.0,16.0,-6.0,-3.0,0,0,0,0,5,16,16,Home Loss,3.0,4.0,-1.0,7.0
Man United,Norwich,2012/2013,2013-03-02,N Swarbrick,5.0,0.0,0.0,3.0,0.0,2.0,3.0,1.0,2.0,1.0,0.0,3.0,4.0,1.0,1.0,3.0,0.0,1.0,6.0,-4.0,68.0,32.0,1,11,53.0,52.0,33.0,33.0,6.0,3.0,4.0,2.0,5.0,-3.0,-2.0,2.0,1.0,-3.0,3.0,-2.0,-1.0,10.0,36.0,-10,1.0,0.0,3.0,2.0,1,0,0,0,8,28,28,Home Win,4.0,0.0,4.0,4.0
West Ham,Norwich,2012/2013,2013-01-01,M Clattenburg,1.0,4.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,0.0,3.0,3.0,-1.0,-1.0,23.0,25.0,12,12,52.0,57.0,29.0,34.0,1.0,1.0,0.0,0.0,-3.0,2.0,1.0,0.0,-2.0,2.0,-1.0,1.0,0.0,0.0,-2.0,0,-5.0,-5.0,0.0,0.0,0,0,1,0,6,20,21,Home Win,2.0,1.0,1.0,3.0
Southampton,Norwich,2012/2013,2012-11-28,M Clattenburg,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,5.0,2.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,2.0,11.0,15.0,17,13,69.0,54.0,41.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,3.0,0.0,-2.0,2.0,-1.0,-4.0,4,15.0,15.0,0.0,0.0,0,0,1,0,4,14,14,Draw,1.0,1.0,0.0,2.0
Liverpool,West Brom,2012/2013,2013-02-11,J Moss,4.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,4.0,2.0,0.0,2.0,1.0,1.0,4.0,7.0,-4.0,36.0,34.0,7,9,87.0,64.0,48.0,32.0,3.0,6.0,2.0,4.0,3.0,-2.0,-1.0,1.0,1.0,-2.0,2.0,1.0,-3.0,11.0,2.0,-2,23.0,16.0,-3.0,-2.0,1,0,0,0,7,26,26,Home Loss,0.0,2.0,-2.0,2.0
QPR,West Brom,2012/2013,2012-12-26,C Foy,1.0,2.0,3.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,0.0,-4.0,10.0,30.0,19,6,62.0,58.0,38.0,33.0,1.0,7.0,3.0,5.0,-1.0,2.0,-1.0,-2.0,2.0,0.0,0.0,2.0,-2.0,4.0,-20.0,13,4.0,5.0,-6.0,-2.0,0,0,0,0,5,19,19,Home Loss,1.0,2.0,-1.0,3.0
Stoke,West Brom,2012/2013,2013-03-16,M Dean,1.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,4.0,4.0,1.0,3.0,0.0,0.0,4.0,2.0,-3.0,2.0,33.0,43.0,14,8,43.0,45.0,20.0,23.0,6.0,3.0,3.0,2.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-2.0,0.0,2.0,-5.0,-10.0,6,-2.0,-3.0,3.0,1.0,0,0,0,0,8,30,30,Draw,0.0,0.0,0.0,0.0
Man City,West Brom,2012/2013,2013-05-07,P Dowd,4.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,-1.0,72.0,48.0,2,8,58.0,69.0,34.0,40.0,7.0,1.0,6.0,1.0,2.0,0.0,-2.0,0.0,-1.0,1.0,2.0,0.0,-2.0,2.0,24.0,-6,-11.0,-6.0,6.0,5.0,1,0,0,0,10,36,36,Home Win,1.0,0.0,1.0,1.0
Arsenal,West Brom,2012/2013,2012-12-08,M Jones,2.0,4.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,1.0,2.0,1.0,1.0,21.0,26.0,10,5,63.0,46.0,42.0,29.0,6.0,0.0,6.0,2.0,-2.0,1.0,1.0,-1.0,1.0,0.0,-2.0,3.0,-1.0,0.0,-5.0,5,17.0,13.0,6.0,4.0,1,0,0,0,5,16,16,Home Win,2.0,0.0,2.0,2.0
Chelsea,West Brom,2012/2013,2013-03-02,K Friend,3.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,0.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,49.0,40.0,4,7,68.0,57.0,37.0,26.0,3.0,6.0,3.0,4.0,2.0,-1.0,-1.0,1.0,1.0,-2.0,0.0,0.0,0.0,0.0,9.0,-3,11.0,11.0,-3.0,-1.0,1,0,0,0,8,28,28,Home Win,1.0,0.0,1.0,1.0
Everton,West Brom,2012/2013,2013-01-30,M Oliver,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,-3.0,38.0,34.0,5,7,62.0,78.0,36.0,40.0,6.0,3.0,3.0,2.0,0.0,1.0,-1.0,1.0,2.0,-3.0,1.0,1.0,-2.0,4.0,4.0,-2,-16.0,-4.0,3.0,1.0,0,0,0,0,6,24,24,Home Win,2.0,1.0,1.0,3.0
Sunderland,West Brom,2012/2013,2012-11-24,M Dean,,4.0,,0.0,,1.0,0.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,0.0,2.0,2.0,0.0,2.0,12.0,23.0,12,4,51.0,55.0,23.0,28.0,1.0,4.0,2.0,6.0,,,,-1.0,1.0,0.0,-2.0,2.0,0.0,-2.0,-11.0,8,-4.0,-5.0,-3.0,-4.0,0,0,0,0,4,12,13,Home Loss,2.0,4.0,-2.0,6.0
Swansea,West Brom,2012/2013,2012-11-28,L Mason,1.0,4.0,3.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,4.0,3.0,0.0,1.0,1.0,0.0,5.0,17.0,26.0,9,3,55.0,50.0,32.0,26.0,6.0,0.0,5.0,1.0,-3.0,3.0,0.0,-1.0,0.0,1.0,-3.0,3.0,0.0,-5.0,-9.0,6,5.0,6.0,6.0,4.0,0,0,0,0,4,14,14,Home Win,3.0,1.0,2.0,4.0
Norwich,West Brom,2012/2013,2013-05-12,H Webb,2.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,-3.0,0.0,38.0,48.0,16,8,50.0,72.0,27.0,40.0,3.0,6.0,3.0,4.0,0.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,-3.0,-10.0,8,-22.0,-13.0,-3.0,-1.0,0,0,0,0,10,37,37,Home Win,4.0,0.0,4.0,4.0
Man United,West Brom,2012/2013,2012-12-29,J Moss,5.0,2.0,0.0,1.0,0.0,2.0,4.0,3.0,0.0,0.0,1.0,2.0,4.0,2.0,1.0,1.0,0.0,2.0,5.0,-1.0,46.0,33.0,1,5,68.0,64.0,40.0,37.0,6.0,0.0,4.0,1.0,3.0,-1.0,-2.0,1.0,0.0,-1.0,2.0,0.0,-2.0,6.0,13.0,-4,4.0,3.0,6.0,3.0,1,0,0,0,5,20,20,Home Win,2.0,0.0,2.0,2.0
Reading,West Brom,2012/2013,2013-01-12,K Friend,2.0,3.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,5.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,-5.0,-1.0,13.0,33.0,19,7,26.0,73.0,14.0,43.0,0.0,3.0,0.0,1.0,-1.0,0.0,1.0,-2.0,0.0,2.0,-1.0,0.0,1.0,-4.0,-20.0,12,-47.0,-29.0,-3.0,-1.0,0,0,1,0,6,22,22,Home Win,3.0,2.0,1.0,5.0
West Ham,West Brom,2012/2013,2013-03-30,A Marriner,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,4.0,3.0,2.0,3.0,0.0,1.0,3.0,1.0,-2.0,3.0,33.0,44.0,12,8,64.0,50.0,38.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-1.0,-1.0,2.0,-5.0,-11.0,4,14.0,13.0,0.0,0.0,0,0,1,0,8,30,31,Home Win,3.0,1.0,2.0,4.0
Southampton,West Brom,2012/2013,2013-04-27,R Madley,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,0.0,2.0,5.0,-2.0,39.0,45.0,12,8,66.0,62.0,40.0,31.0,0.0,3.0,0.0,2.0,1.0,0.0,-1.0,0.0,1.0,-1.0,2.0,0.0,-2.0,7.0,-6.0,4,4.0,9.0,-3.0,-2.0,0,0,1,0,9,35,34,Home Loss,0.0,3.0,-3.0,3.0
Newcastle,Man City,2012/2013,2012-12-15,A Marriner,2.0,4.0,0.0,1.0,3.0,0.0,0.0,3.0,3.0,2.0,2.0,0.0,1.0,2.0,0.0,2.0,4.0,1.0,-2.0,6.0,17.0,33.0,14,2,78.0,72.0,40.0,38.0,0.0,6.0,1.0,5.0,-2.0,-1.0,3.0,-3.0,1.0,2.0,-1.0,-2.0,3.0,-8.0,-16.0,12,6.0,2.0,-6.0,-4.0,0,1,0,0,5,17,17,Home Loss,1.0,3.0,-2.0,4.0
QPR,Man City,2012/2013,2013-01-29,P Dowd,1.0,3.0,2.0,1.0,2.0,1.0,1.0,4.0,2.0,0.0,2.0,1.0,1.0,4.0,2.0,0.0,2.0,1.0,-3.0,7.0,15.0,51.0,20,2,53.0,85.0,27.0,50.0,0.0,9.0,5.0,9.0,-2.0,1.0,1.0,-3.0,2.0,1.0,-3.0,2.0,1.0,-10.0,-36.0,18,-32.0,-23.0,-9.0,-4.0,0,1,0,0,6,24,24,Draw,0.0,0.0,0.0,0.0
Wigan,Man City,2012/2013,2012-11-28,M Halsey,2.0,4.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0,2.0,2.0,0.0,-1.0,7.0,14.0,29.0,15,2,66.0,76.0,37.0,36.0,0.0,6.0,0.0,4.0,-2.0,0.0,2.0,0.0,-3.0,3.0,0.0,-2.0,2.0,-8.0,-15.0,13,-10.0,1.0,-6.0,-4.0,0,1,0,0,4,14,14,Home Loss,0.0,2.0,-2.0,2.0
Arsenal,Man City,2012/2013,2013-01-13,M Dean,3.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,0.0,0.0,1.0,10.0,6.0,34.0,45.0,5,2,73.0,82.0,48.0,50.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,-1.0,4.0,-11.0,3,-9.0,-2.0,0.0,0.0,1,1,0,0,6,21,22,Home Loss,0.0,2.0,-2.0,2.0
Aston Villa,Man City,2012/2013,2013-03-04,M Dean,1.0,3.0,0.0,1.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,-1.0,2.0,24.0,56.0,17,2,41.0,66.0,20.0,38.0,0.0,9.0,1.0,10.0,-2.0,-1.0,3.0,-1.0,2.0,-1.0,-1.0,0.0,1.0,-3.0,-32.0,15,-25.0,-18.0,-9.0,-9.0,0,1,0,0,8,28,28,Home Loss,0.0,1.0,-1.0,1.0
Chelsea,Man City,2012/2013,2012-11-25,C Foy,3.0,4.0,1.0,1.0,1.0,0.0,3.0,2.0,2.0,3.0,0.0,0.0,1.0,4.0,2.0,1.0,2.0,0.0,0.0,8.0,24.0,28.0,3,1,67.0,86.0,40.0,42.0,3.0,3.0,3.0,3.0,-1.0,0.0,1.0,1.0,-1.0,0.0,-3.0,1.0,2.0,-8.0,-4.0,2,-19.0,-2.0,0.0,0.0,1,1,0,0,4,13,13,Draw,0.0,0.0,0.0,0.0
Everton,Man City,2012/2013,2013-03-16,L Probert,2.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,45.0,59.0,6,2,71.0,66.0,42.0,39.0,4.0,4.0,2.0,3.0,-1.0,1.0,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,-1.0,-14.0,4,5.0,3.0,0.0,-1.0,0,1,0,0,8,29,29,Home Win,2.0,0.0,2.0,2.0
Sunderland,Man City,2012/2013,2012-12-26,K Friend,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,0.0,2.0,3.0,0.0,1.0,3.0,1.0,-1.0,4.0,19.0,39.0,15,2,69.0,73.0,43.0,43.0,4.0,4.0,4.0,6.0,-2.0,0.0,2.0,-2.0,-1.0,3.0,-1.0,-1.0,2.0,-5.0,-20.0,13,-4.0,0.0,0.0,-2.0,0,1,0,0,5,19,19,Home Win,1.0,0.0,1.0,1.0
Swansea,Man City,2012/2013,2013-05-04,M Jones,2.0,4.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,3.0,3.0,0.0,4.0,2.0,0.0,3.0,1.0,-5.0,5.0,42.0,71.0,9,2,61.0,65.0,29.0,37.0,3.0,6.0,1.0,5.0,-2.0,0.0,2.0,-2.0,2.0,0.0,-4.0,2.0,2.0,-10.0,-29.0,7,-4.0,-8.0,-3.0,-4.0,0,1,0,0,10,35,35,Draw,0.0,0.0,0.0,0.0
Norwich,Man City,2012/2013,2012-12-29,M Jones,4.0,3.0,0.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,0.0,1.0,3.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,25.0,39.0,9,2,51.0,77.0,31.0,49.0,0.0,6.0,2.0,11.0,1.0,-1.0,0.0,-1.0,2.0,-1.0,1.0,-1.0,0.0,0.0,-14.0,7,-26.0,-18.0,-6.0,-9.0,0,1,0,0,5,20,20,Home Loss,3.0,4.0,-1.0,7.0
Man United,Man City,2012/2013,2013-04-08,M Dean,5.0,4.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,2.0,5.0,3.0,0.0,0.0,0.0,2.0,10.0,3.0,77.0,62.0,1,2,63.0,78.0,38.0,49.0,3.0,6.0,4.0,9.0,1.0,-1.0,0.0,1.0,1.0,-2.0,2.0,0.0,-2.0,7.0,15.0,-1,-15.0,-11.0,-3.0,-5.0,1,1,0,0,9,31,31,Home Loss,1.0,2.0,-1.0,3.0
Tottenham,Man City,2012/2013,2013-04-21,L Mason,2.0,4.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,0.0,2.0,1.0,0.0,5.0,58.0,68.0,5,2,66.0,75.0,37.0,43.0,0.0,9.0,4.0,10.0,-2.0,1.0,1.0,0.0,1.0,-1.0,-2.0,1.0,1.0,-5.0,-10.0,3,-9.0,-6.0,-9.0,-6.0,1,1,0,0,9,33,33,Home Win,3.0,1.0,2.0,4.0
Reading,Man City,2012/2013,2013-05-14,M Atkinson,0.0,4.0,2.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,5.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,-1.0,1.0,28.0,75.0,19,2,62.0,70.0,34.0,38.0,0.0,3.0,0.0,1.0,-4.0,1.0,3.0,-2.0,-1.0,3.0,-2.0,1.0,1.0,-2.0,-47.0,17,-8.0,-4.0,-3.0,-1.0,0,1,1,0,10,37,37,Home Loss,0.0,2.0,-2.0,2.0
Southampton,Man City,2012/2013,2013-02-09,M Atkinson,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,1.0,0.0,0.0,7.0,24.0,53.0,16,2,68.0,77.0,35.0,41.0,0.0,3.0,2.0,3.0,-2.0,2.0,0.0,-2.0,2.0,0.0,-2.0,1.0,1.0,-7.0,-29.0,14,-9.0,-6.0,-3.0,-1.0,0,1,1,0,7,26,26,Home Win,3.0,1.0,2.0,4.0
Liverpool,Aston Villa,2012/2013,2012-12-15,N Swarbrick,3.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,4.0,-4.0,22.0,15.0,11,18,97.0,51.0,53.0,31.0,4.0,1.0,3.0,1.0,2.0,-1.0,-1.0,0.0,2.0,-2.0,2.0,-2.0,0.0,8.0,7.0,-7,46.0,22.0,3.0,2.0,1,0,0,0,5,17,17,Home Loss,1.0,3.0,-2.0,4.0
QPR,Aston Villa,2012/2013,2012-12-01,H Webb,0.0,1.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,5.0,4.0,0.0,2.0,2.0,1.0,3.0,2.0,-5.0,-4.0,5.0,13.0,20,17,76.0,54.0,42.0,36.0,2.0,2.0,3.0,3.0,-1.0,0.0,1.0,-1.0,0.0,1.0,-2.0,1.0,1.0,-1.0,-8.0,3,22.0,6.0,0.0,0.0,0,0,0,0,5,15,15,Draw,1.0,1.0,0.0,2.0
Wigan,Aston Villa,2012/2013,2013-05-19,N Swarbrick,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,-5.0,2.0,35.0,40.0,18,15,61.0,65.0,38.0,40.0,4.0,4.0,3.0,2.0,0.0,0.0,0.0,-1.0,1.0,0.0,-1.0,0.0,1.0,-7.0,-5.0,3,-4.0,-2.0,0.0,1.0,0,0,0,0,10,38,38,Draw,2.0,2.0,0.0,4.0
Stoke,Aston Villa,2012/2013,2013-04-06,M Clattenburg,1.0,2.0,2.0,0.0,2.0,3.0,0.0,1.0,0.0,3.0,5.0,1.0,0.0,2.0,1.0,0.0,4.0,3.0,-4.0,-1.0,34.0,30.0,14,18,47.0,53.0,18.0,28.0,3.0,3.0,1.0,1.0,-1.0,2.0,-1.0,-1.0,-3.0,4.0,-2.0,1.0,1.0,-3.0,4.0,-4,-6.0,-10.0,0.0,0.0,0,0,0,0,9,32,32,Home Loss,1.0,3.0,-2.0,4.0
West Brom,Aston Villa,2012/2013,2013-01-19,L Probert,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,1.0,3.0,4.0,-2.0,-16.0,33.0,19.0,7,18,65.0,46.0,39.0,25.0,5.0,2.0,3.0,2.0,1.0,-1.0,0.0,1.0,-2.0,1.0,2.0,-1.0,-1.0,14.0,14.0,-11,19.0,14.0,3.0,1.0,0,0,0,0,6,23,23,Draw,2.0,2.0,0.0,4.0
Man City,Aston Villa,2012/2013,2012-11-17,J Moss,4.0,,1.0,,0.0,,,1.0,,1.0,,3.0,4.0,1.0,1.0,1.0,0.0,3.0,6.0,-3.0,25.0,9.0,2,17,91.0,43.0,50.0,27.0,6.0,0.0,5.0,1.0,,,,,,,3.0,0.0,-3.0,9.0,16.0,-15,48.0,23.0,6.0,4.0,1,0,0,0,4,12,12,Home Win,5.0,0.0,5.0,5.0
Arsenal,Aston Villa,2012/2013,2013-02-23,M Atkinson,3.0,0.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,5.0,-1.0,44.0,24.0,5,17,82.0,52.0,49.0,27.0,7.0,1.0,5.0,1.0,3.0,0.0,-3.0,1.0,-1.0,0.0,2.0,-1.0,-1.0,6.0,20.0,-12,30.0,22.0,6.0,4.0,1,0,0,0,7,27,27,Home Win,2.0,1.0,1.0,3.0
Chelsea,Aston Villa,2012/2013,2012-12-23,P Dowd,1.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,0.0,-1.0,3.0,29.0,18.0,3,14,68.0,50.0,40.0,29.0,3.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.0,-4.0,11.0,-11,18.0,11.0,0.0,0.0,1,0,0,0,5,17,18,Home Win,8.0,0.0,8.0,8.0
