HOME_TEAM,AWAY_TEAM,SEASON,DATE,REFEREE,DIFF_HA_LAST_5_HOME_WINS,DIFF_HA_LAST_5_HOME_DRAWS,DIFF_HA_LAST_5_HOME_LOSSES,DIFF_HA_LAST_5_AWAY_WINS,DIFF_HA_LAST_5_AWAY_DRAWS,DIFF_HA_LAST_5_AWAY_LOSSES,DIFF_HA_LAST_5_WINS,DIFF_HA_LAST_5_DRAWS,DIFF_HA_LAST_5_LOSSES,DIFF_HA_GD_LAST_5,DIFF_HA_PTS_THIS_SEASON,DIFF_HA_CURRENT_POSITION,DIFF_HA_SHOTS_LAST_5,DIFF_HA_SHOTS_ON_TARGET_LAST_5,HOME_TEAM_BIG_6_FLAG,AWAY_TEAM_BIG_6_FLAG,HOME_TEAM_PROMOTED_FROM_LAST_SEASON_FLAG,AWAY_TEAM_PROMOTED_FROM_LAST_SEASON_FLAG,SEASON_MONTH_NUM,HOME_TEAM_GAME_NUM,AWAY_TEAM_GAME_NUM,RESULT,FTHG,FTAG,DIFF_HA_FT_GOALS,TOT_GOALS
Liverpool,Fulham,2012/2013,2012-12-22,M Clattenburg,2.0,0.0,-2.0,1.0,0.0,-1.0,1.0,0.0,-1.0,3.0,2.0,-1,55.0,35.0,1,0,0,0,5,18,18,Home Win,4.0,0.0,4.0,4.0
Newcastle,Fulham,2012/2013,2013-04-07,K Friend,1.0,-1.0,0.0,-1.0,-1.0,2.0,-1.0,-2.0,3.0,-6.0,-6.0,5,4.0,-2.0,0,0,0,0,9,32,31,Home Win,1.0,0.0,1.0,1.0
QPR,Fulham,2012/2013,2012-12-15,M Atkinson,-1.0,2.0,-1.0,0.0,-3.0,3.0,-1.0,2.0,-1.0,1.0,-13.0,7,3.0,4.0,0,0,0,0,5,17,17,Home Win,2.0,1.0,1.0,3.0
Stoke,Fulham,2012/2013,2012-11-24,M Oliver,-1.0,2.0,-1.0,-1.0,-1.0,2.0,0.0,-1.0,1.0,-1.0,-3.0,5,-19.0,-13.0,0,0,0,0,4,13,13,Home Win,1.0,0.0,1.0,1.0
West Brom,Fulham,2012/2013,2013-01-01,M Dean,2.0,-1.0,-1.0,3.0,-2.0,-1.0,1.0,0.0,-1.0,3.0,12.0,-7,2.0,4.0,0,0,0,0,6,21,21,Home Loss,1.0,2.0,-1.0,3.0
Man City,Fulham,2012/2013,2013-01-19,J Moss,2.0,0.0,-2.0,2.0,0.0,-2.0,3.0,-2.0,-1.0,10.0,23.0,-12,19.0,18.0,1,0,0,0,6,23,23,Home Win,2.0,0.0,2.0,2.0
Aston Villa,Fulham,2012/2013,2013-04-13,P Dowd,0.0,-1.0,1.0,0.0,1.0,-1.0,0.0,-1.0,1.0,0.0,-6.0,6,12.0,10.0,0,0,0,0,9,33,32,Draw,1.0,1.0,0.0,2.0
Chelsea,Fulham,2012/2013,2012-11-28,A Taylor,-1.0,1.0,0.0,2.0,-1.0,-1.0,0.0,0.0,0.0,1.0,9.0,-6,2.0,-2.0,1,0,0,0,4,14,14,Draw,0.0,0.0,0.0,0.0
Everton,Fulham,2012/2013,2013-04-27,J Moss,1.0,1.0,-2.0,-1.0,0.0,1.0,1.0,1.0,-2.0,6.0,16.0,-5,16.0,11.0,0,0,0,0,9,35,35,Home Win,1.0,0.0,1.0,1.0
Sunderland,Fulham,2012/2013,2013-03-02,M Halsey,1.0,-1.0,0.0,1.0,-1.0,0.0,-1.0,0.0,1.0,-2.0,-3.0,3,-12.0,-2.0,0,0,0,0,8,28,28,Draw,2.0,2.0,0.0,4.0
Swansea,Fulham,2012/2013,2013-05-19,L Mason,-1.0,2.0,-1.0,0.0,-1.0,1.0,1.0,2.0,-3.0,7.0,6.0,-7,-5.0,-11.0,0,0,0,0,10,38,38,Home Loss,0.0,3.0,-3.0,3.0
Norwich,Fulham,2012/2013,2013-02-09,H Webb,-1.0,0.0,1.0,0.0,0.0,0.0,-2.0,2.0,0.0,-6.0,0.0,-1,-7.0,-2.0,0,0,0,0,7,26,26,Draw,0.0,0.0,0.0,0.0
Tottenham,Fulham,2012/2013,2013-03-17,M Jones,2.0,0.0,-2.0,2.0,0.0,-2.0,2.0,-2.0,0.0,1.0,21.0,-8,26.0,20.0,1,0,0,0,8,30,29,Home Loss,0.0,1.0,-1.0,1.0
Stoke,Fulham,2013/2014,2014-05-03,C Foy,2.0,0.0,-2.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,13.0,-9,-14.0,-10.0,0,0,0,0,10,37,37,Home Win,4.0,1.0,3.0,5.0
West Brom,Fulham,2013/2014,2014-02-22,M Dean,-1.0,4.0,-3.0,-1.0,1.0,0.0,0.0,2.0,-2.0,5.0,4.0,-2,19.0,5.0,0,0,0,0,7,27,27,Draw,1.0,1.0,0.0,2.0
Man City,Fulham,2013/2014,2014-03-22,J Moss,3.0,0.0,-3.0,4.0,-1.0,-3.0,2.0,0.0,-2.0,10.0,36.0,-19,41.0,7.0,1,0,0,0,8,28,31,Home Win,5.0,0.0,5.0,5.0
Arsenal,Fulham,2013/2014,2014-01-18,L Probert,1.0,2.0,-3.0,2.0,0.0,-2.0,2.0,1.0,-3.0,15.0,29.0,-15,4.0,-5.0,1,0,0,0,6,22,22,Home Win,2.0,0.0,2.0,2.0
Aston Villa,Fulham,2013/2014,2014-04-05,M Oliver,2.0,0.0,-2.0,1.0,0.0,-1.0,1.0,0.0,-1.0,7.0,10.0,-8,-7.0,-6.0,0,0,0,0,9,32,33,Home Loss,1.0,2.0,-1.0,3.0
Everton,Fulham,2013/2014,2013-12-14,A Taylor,2.0,2.0,-4.0,2.0,1.0,-3.0,1.0,3.0,-4.0,12.0,15.0,-14,21.0,14.0,0,0,0,0,5,16,16,Home Win,4.0,1.0,3.0,5.0
Swansea,Fulham,2013/2014,2014-01-28,M Oliver,-1.0,1.0,0.0,0.0,2.0,-2.0,-2.0,1.0,1.0,3.0,2.0,-2,-9.0,-14.0,0,0,0,0,6,23,23,Home Win,2.0,0.0,2.0,2.0
Norwich,Fulham,2013/2014,2013-12-26,J Moss,0.0,2.0,-2.0,0.0,0.0,0.0,1.0,2.0,-3.0,6.0,6.0,-5,-14.0,-5.0,0,0,0,0,5,18,18,Home Loss,1.0,2.0,-1.0,3.0
Man United,Fulham,2013/2014,2014-02-09,K Friend,1.0,0.0,-1.0,2.0,1.0,-3.0,1.0,0.0,-1.0,9.0,21.0,-13,0.0,-2.0,1,0,0,0,7,25,25,Draw,2.0,2.0,0.0,4.0
Tottenham,Fulham,2013/2014,2014-04-19,L Probert,3.0,0.0,-3.0,0.0,-1.0,1.0,-1.0,1.0,0.0,4.0,30.0,-12,25.0,9.0,1,0,0,0,9,35,35,Home Win,3.0,1.0,2.0,4.0
West Ham,Fulham,2013/2014,2013-11-30,M Atkinson,-1.0,0.0,1.0,0.0,3.0,-3.0,-1.0,2.0,-1.0,-1.0,0.0,-1,25.0,-1.0,0,0,0,0,4,13,13,Home Win,3.0,0.0,3.0,3.0
Hull,Fulham,2013/2014,2013-12-28,R Madley,0.0,1.0,-1.0,-1.0,1.0,0.0,-2.0,3.0,-1.0,0.0,4.0,-6,-29.0,-15.0,0,0,1,0,5,19,19,Home Win,6.0,0.0,6.0,6.0
Cardiff,Fulham,2013/2014,2014-03-08,M Atkinson,0.0,2.0,-2.0,0.0,-2.0,2.0,1.0,-1.0,0.0,-1.0,1.0,-1,26.0,0.0,0,0,1,0,8,29,29,Home Win,3.0,1.0,2.0,4.0
