HOME_TEAM,AWAY_TEAM,SEASON,DATE,REFEREE,DIFF_HA_LAST_5_HOME_WINS,DIFF_HA_LAST_5_HOME_DRAWS,DIFF_HA_LAST_5_HOME_LOSSES,DIFF_HA_LAST_5_AWAY_WINS,DIFF_HA_LAST_5_AWAY_DRAWS,DIFF_HA_LAST_5_AWAY_LOSSES,DIFF_HA_LAST_5_WINS,DIFF_HA_LAST_5_DRAWS,DIFF_HA_LAST_5_LOSSES,DIFF_HA_GD_LAST_5,DIFF_HA_PTS_THIS_SEASON,DIFF_HA_CURRENT_POSITION,DIFF_HA_SHOTS_LAST_5,DIFF_HA_SHOTS_ON_TARGET_LAST_5,HOME_TEAM_BIG_6_FLAG,AWAY_TEAM_BIG_6_FLAG,HOME_TEAM_PROMOTED_FROM_LAST_SEASON_FLAG,AWAY_TEAM_PROMOTED_FROM_LAST_SEASON_FLAG,SEASON_MONTH_NUM,HOME_TEAM_GAME_NUM,AWAY_TEAM_GAME_NUM,RESULT,FTHG,FTAG,DIFF_HA_FT_GOALS,TOT_GOALS
Liverpool,Norwich,2012/2013,2013-01-19,M Oliver,1.0,0.0,-1.0,1.0,-1.0,0.0,3.0,-1.0,-2.0,11.0,5.0,-4,37.0,28.0,1,0,0,0,6,23,23,Home Win,5.0,0.0,5.0,5.0
QPR,Norwich,2012/2013,2013-02-02,J Moss,-1.0,1.0,0.0,0.0,1.0,-1.0,1.0,1.0,-2.0,5.0,-11.0,7,-7.0,1.0,0,0,0,0,7,25,25,Draw,0.0,0.0,0.0,0.0
Wigan,Norwich,2012/2013,2013-03-30,H Webb,0.0,-2.0,2.0,1.0,0.0,-1.0,1.0,-2.0,1.0,0.0,-7.0,4,24.0,19.0,0,0,0,0,8,30,31,Home Win,1.0,0.0,1.0,1.0
Stoke,Norwich,2012/2013,2013-04-27,A Taylor,0.0,-3.0,3.0,0.0,-2.0,2.0,0.0,-1.0,1.0,-1.0,-1.0,2,1.0,-11.0,0,0,0,0,9,35,35,Home Win,1.0,0.0,1.0,1.0
West Brom,Norwich,2012/2013,2012-12-22,M Atkinson,-2.0,1.0,1.0,1.0,-3.0,2.0,-2.0,-1.0,3.0,-6.0,2.0,-2,7.0,-1.0,0,0,0,0,5,18,18,Home Win,2.0,1.0,1.0,3.0
Man City,Norwich,2012/2013,2013-05-19,M Halsey,3.0,-2.0,-1.0,2.0,0.0,-2.0,1.0,1.0,-2.0,1.0,37.0,-9,38.0,28.0,1,0,0,0,10,38,38,Home Loss,2.0,3.0,-1.0,5.0
Arsenal,Norwich,2012/2013,2013-04-13,M Jones,3.0,-3.0,0.0,2.0,-1.0,-1.0,4.0,-3.0,-1.0,11.0,21.0,-9,51.0,31.0,1,0,0,0,9,32,33,Home Win,3.0,1.0,2.0,4.0
Everton,Norwich,2012/2013,2012-11-24,M Jones,1.0,0.0,-1.0,1.0,0.0,-1.0,-2.0,1.0,1.0,-3.0,6.0,-7,37.0,23.0,0,0,0,0,4,13,13,Draw,1.0,1.0,0.0,2.0
Sunderland,Norwich,2012/2013,2013-03-17,C Foy,0.0,-1.0,1.0,2.0,-1.0,-1.0,-1.0,-2.0,3.0,-2.0,-3.0,2,8.0,-1.0,0,0,0,0,8,30,30,Draw,1.0,1.0,0.0,2.0
Swansea,Norwich,2012/2013,2012-12-08,H Webb,-1.0,2.0,-1.0,1.0,-3.0,2.0,1.0,-1.0,0.0,3.0,4.0,-6,18.0,16.0,0,0,0,0,5,16,16,Home Loss,3.0,4.0,-1.0,7.0
Man United,Norwich,2012/2013,2013-03-02,N Swarbrick,5.0,-3.0,-2.0,2.0,1.0,-3.0,3.0,-2.0,-1.0,10.0,36.0,-10,1.0,0.0,1,0,0,0,8,28,28,Home Win,4.0,0.0,4.0,4.0
West Ham,Norwich,2012/2013,2013-01-01,M Clattenburg,-3.0,2.0,1.0,0.0,-2.0,2.0,-1.0,1.0,0.0,0.0,-2.0,0,-5.0,-5.0,0,0,1,0,6,20,21,Home Win,2.0,1.0,1.0,3.0
Southampton,Norwich,2012/2013,2012-11-28,M Clattenburg,0.0,0.0,0.0,0.0,-3.0,3.0,0.0,-2.0,2.0,-1.0,-4.0,4,15.0,15.0,0,0,1,0,4,14,14,Draw,1.0,1.0,0.0,2.0
Liverpool,West Brom,2012/2013,2013-02-11,J Moss,3.0,-2.0,-1.0,1.0,1.0,-2.0,2.0,1.0,-3.0,11.0,2.0,-2,23.0,16.0,1,0,0,0,7,26,26,Home Loss,0.0,2.0,-2.0,2.0
QPR,West Brom,2012/2013,2012-12-26,C Foy,-1.0,2.0,-1.0,-2.0,2.0,0.0,0.0,2.0,-2.0,4.0,-20.0,13,4.0,5.0,0,0,0,0,5,19,19,Home Loss,1.0,2.0,-1.0,3.0
Stoke,West Brom,2012/2013,2013-03-16,M Dean,-1.0,1.0,0.0,-1.0,1.0,0.0,-2.0,0.0,2.0,-5.0,-10.0,6,-2.0,-3.0,0,0,0,0,8,30,30,Draw,0.0,0.0,0.0,0.0
Man City,West Brom,2012/2013,2013-05-07,P Dowd,2.0,0.0,-2.0,0.0,-1.0,1.0,2.0,0.0,-2.0,2.0,24.0,-6,-11.0,-6.0,1,0,0,0,10,36,36,Home Win,1.0,0.0,1.0,1.0
Arsenal,West Brom,2012/2013,2012-12-08,M Jones,-2.0,1.0,1.0,-1.0,1.0,0.0,-2.0,3.0,-1.0,0.0,-5.0,5,17.0,13.0,1,0,0,0,5,16,16,Home Win,2.0,0.0,2.0,2.0
Chelsea,West Brom,2012/2013,2013-03-02,K Friend,2.0,-1.0,-1.0,1.0,1.0,-2.0,0.0,0.0,0.0,0.0,9.0,-3,11.0,11.0,1,0,0,0,8,28,28,Home Win,1.0,0.0,1.0,1.0
Everton,West Brom,2012/2013,2013-01-30,M Oliver,0.0,1.0,-1.0,1.0,2.0,-3.0,1.0,1.0,-2.0,4.0,4.0,-2,-16.0,-4.0,0,0,0,0,6,24,24,Home Win,2.0,1.0,1.0,3.0
Sunderland,West Brom,2012/2013,2012-11-24,M Dean,,,,-1.0,1.0,0.0,-2.0,2.0,0.0,-2.0,-11.0,8,-4.0,-5.0,0,0,0,0,4,12,13,Home Loss,2.0,4.0,-2.0,6.0
Swansea,West Brom,2012/2013,2012-11-28,L Mason,-3.0,3.0,0.0,-1.0,0.0,1.0,-3.0,3.0,0.0,-5.0,-9.0,6,5.0,6.0,0,0,0,0,4,14,14,Home Win,3.0,1.0,2.0,4.0
Norwich,West Brom,2012/2013,2013-05-12,H Webb,0.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,-3.0,-10.0,8,-22.0,-13.0,0,0,0,0,10,37,37,Home Win,4.0,0.0,4.0,4.0
Man United,West Brom,2012/2013,2012-12-29,J Moss,3.0,-1.0,-2.0,1.0,0.0,-1.0,2.0,0.0,-2.0,6.0,13.0,-4,4.0,3.0,1,0,0,0,5,20,20,Home Win,2.0,0.0,2.0,2.0
Reading,West Brom,2012/2013,2013-01-12,K Friend,-1.0,0.0,1.0,-2.0,0.0,2.0,-1.0,0.0,1.0,-4.0,-20.0,12,-47.0,-29.0,0,0,1,0,6,22,22,Home Win,3.0,2.0,1.0,5.0
West Ham,West Brom,2012/2013,2013-03-30,A Marriner,0.0,0.0,0.0,0.0,-1.0,1.0,-1.0,-1.0,2.0,-5.0,-11.0,4,14.0,13.0,0,0,1,0,8,30,31,Home Win,3.0,1.0,2.0,4.0
Southampton,West Brom,2012/2013,2013-04-27,R Madley,1.0,0.0,-1.0,0.0,1.0,-1.0,2.0,0.0,-2.0,7.0,-6.0,4,4.0,9.0,0,0,1,0,9,35,34,Home Loss,0.0,3.0,-3.0,3.0
Newcastle,Man City,2012/2013,2012-12-15,A Marriner,-2.0,-1.0,3.0,-3.0,1.0,2.0,-1.0,-2.0,3.0,-8.0,-16.0,12,6.0,2.0,0,1,0,0,5,17,17,Home Loss,1.0,3.0,-2.0,4.0
QPR,Man City,2012/2013,2013-01-29,P Dowd,-2.0,1.0,1.0,-3.0,2.0,1.0,-3.0,2.0,1.0,-10.0,-36.0,18,-32.0,-23.0,0,1,0,0,6,24,24,Draw,0.0,0.0,0.0,0.0
Wigan,Man City,2012/2013,2012-11-28,M Halsey,-2.0,0.0,2.0,0.0,-3.0,3.0,0.0,-2.0,2.0,-8.0,-15.0,13,-10.0,1.0,0,1,0,0,4,14,14,Home Loss,0.0,2.0,-2.0,2.0
Arsenal,Man City,2012/2013,2013-01-13,M Dean,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,-1.0,4.0,-11.0,3,-9.0,-2.0,1,1,0,0,6,21,22,Home Loss,0.0,2.0,-2.0,2.0
Aston Villa,Man City,2012/2013,2013-03-04,M Dean,-2.0,-1.0,3.0,-1.0,2.0,-1.0,-1.0,0.0,1.0,-3.0,-32.0,15,-25.0,-18.0,0,1,0,0,8,28,28,Home Loss,0.0,1.0,-1.0,1.0
Chelsea,Man City,2012/2013,2012-11-25,C Foy,-1.0,0.0,1.0,1.0,-1.0,0.0,-3.0,1.0,2.0,-8.0,-4.0,2,-19.0,-2.0,1,1,0,0,4,13,13,Draw,0.0,0.0,0.0,0.0
Everton,Man City,2012/2013,2013-03-16,L Probert,-1.0,1.0,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,-1.0,-14.0,4,5.0,3.0,0,1,0,0,8,29,29,Home Win,2.0,0.0,2.0,2.0
Sunderland,Man City,2012/2013,2012-12-26,K Friend,-2.0,0.0,2.0,-2.0,-1.0,3.0,-1.0,-1.0,2.0,-5.0,-20.0,13,-4.0,0.0,0,1,0,0,5,19,19,Home Win,1.0,0.0,1.0,1.0
Swansea,Man City,2012/2013,2013-05-04,M Jones,-2.0,0.0,2.0,-2.0,2.0,0.0,-4.0,2.0,2.0,-10.0,-29.0,7,-4.0,-8.0,0,1,0,0,10,35,35,Draw,0.0,0.0,0.0,0.0
Norwich,Man City,2012/2013,2012-12-29,M Jones,1.0,-1.0,0.0,-1.0,2.0,-1.0,1.0,-1.0,0.0,0.0,-14.0,7,-26.0,-18.0,0,1,0,0,5,20,20,Home Loss,3.0,4.0,-1.0,7.0
Man United,Man City,2012/2013,2013-04-08,M Dean,1.0,-1.0,0.0,1.0,1.0,-2.0,2.0,0.0,-2.0,7.0,15.0,-1,-15.0,-11.0,1,1,0,0,9,31,31,Home Loss,1.0,2.0,-1.0,3.0
Tottenham,Man City,2012/2013,2013-04-21,L Mason,-2.0,1.0,1.0,0.0,1.0,-1.0,-2.0,1.0,1.0,-5.0,-10.0,3,-9.0,-6.0,1,1,0,0,9,33,33,Home Win,3.0,1.0,2.0,4.0
Reading,Man City,2012/2013,2013-05-14,M Atkinson,-4.0,1.0,3.0,-2.0,-1.0,3.0,-2.0,1.0,1.0,-2.0,-47.0,17,-8.0,-4.0,0,1,1,0,10,37,37,Home Loss,0.0,2.0,-2.0,2.0
Southampton,Man City,2012/2013,2013-02-09,M Atkinson,-2.0,2.0,0.0,-2.0,2.0,0.0,-2.0,1.0,1.0,-7.0,-29.0,14,-9.0,-6.0,0,1,1,0,7,26,26,Home Win,3.0,1.0,2.0,4.0
Liverpool,Aston Villa,2012/2013,2012-12-15,N Swarbrick,2.0,-1.0,-1.0,0.0,2.0,-2.0,2.0,-2.0,0.0,8.0,7.0,-7,46.0,22.0,1,0,0,0,5,17,17,Home Loss,1.0,3.0,-2.0,4.0
QPR,Aston Villa,2012/2013,2012-12-01,H Webb,-1.0,0.0,1.0,-1.0,0.0,1.0,-2.0,1.0,1.0,-1.0,-8.0,3,22.0,6.0,0,0,0,0,5,15,15,Draw,1.0,1.0,0.0,2.0
Wigan,Aston Villa,2012/2013,2013-05-19,N Swarbrick,0.0,0.0,0.0,-1.0,1.0,0.0,-1.0,0.0,1.0,-7.0,-5.0,3,-4.0,-2.0,0,0,0,0,10,38,38,Draw,2.0,2.0,0.0,4.0
Stoke,Aston Villa,2012/2013,2013-04-06,M Clattenburg,-1.0,2.0,-1.0,-1.0,-3.0,4.0,-2.0,1.0,1.0,-3.0,4.0,-4,-6.0,-10.0,0,0,0,0,9,32,32,Home Loss,1.0,3.0,-2.0,4.0
West Brom,Aston Villa,2012/2013,2013-01-19,L Probert,1.0,-1.0,0.0,1.0,-2.0,1.0,2.0,-1.0,-1.0,14.0,14.0,-11,19.0,14.0,0,0,0,0,6,23,23,Draw,2.0,2.0,0.0,4.0
Man City,Aston Villa,2012/2013,2012-11-17,J Moss,,,,,,,3.0,0.0,-3.0,9.0,16.0,-15,48.0,23.0,1,0,0,0,4,12,12,Home Win,5.0,0.0,5.0,5.0
Arsenal,Aston Villa,2012/2013,2013-02-23,M Atkinson,3.0,0.0,-3.0,1.0,-1.0,0.0,2.0,-1.0,-1.0,6.0,20.0,-12,30.0,22.0,1,0,0,0,7,27,27,Home Win,2.0,1.0,1.0,3.0
Chelsea,Aston Villa,2012/2013,2012-12-23,P Dowd,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,2.0,-4.0,11.0,-11,18.0,11.0,1,0,0,0,5,17,18,Home Win,8.0,0.0,8.0,8.0
Everton,Aston Villa,2012/2013,2013-02-02,M Jones,2.0,0.0,-2.0,1.0,-1.0,0.0,2.0,0.0,-2.0,6.0,21.0,-14,0.0,0.0,0,0,0,0,7,25,25,Draw,3.0,3.0,0.0,6.0
Swansea,Aston Villa,2012/2013,2013-01-01,M Halsey,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,1.0,-1.0,12.0,10.0,-7,19.0,13.0,0,0,0,0,6,21,21,Draw,2.0,2.0,0.0,4.0
Norwich,Aston Villa,2012/2013,2013-05-04,K Friend,0.0,2.0,-2.0,-2.0,1.0,1.0,-1.0,0.0,1.0,-6.0,1.0,-2,-12.0,-14.0,0,0,0,0,10,36,36,Home Loss,1.0,2.0,-1.0,3.0
Man United,Aston Villa,2012/2013,2013-04-22,A Taylor,2.0,0.0,-2.0,2.0,-1.0,-1.0,0.0,0.0,0.0,0.0,47.0,-16,3.0,-2.0,1,0,0,0,9,34,34,Home Win,3.0,0.0,3.0,3.0
Reading,Aston Villa,2012/2013,2013-03-09,J Moss,2.0,1.0,-3.0,1.0,-3.0,2.0,0.0,0.0,0.0,-3.0,-1.0,2,-2.0,0.0,0,0,1,0,8,29,29,Home Loss,1.0,2.0,-1.0,3.0
Liverpool,Everton,2012/2013,2013-05-05,M Oliver,-2.0,1.0,1.0,2.0,0.0,-2.0,0.0,1.0,-1.0,5.0,-5.0,1,37.0,26.0,1,0,0,0,10,36,36,Draw,0.0,0.0,0.0,0.0
Newcastle,Everton,2012/2013,2013-01-02,M Atkinson,-1.0,-2.0,3.0,-1.0,-2.0,3.0,-2.0,-1.0,3.0,-9.0,-13.0,9,11.0,9.0,0,0,0,0,6,21,21,Home Loss,1.0,2.0,-1.0,3.0
Stoke,Everton,2012/2013,2012-12-15,M Halsey,2.0,-2.0,0.0,1.0,-2.0,1.0,2.0,-1.0,-1.0,3.0,-3.0,4,-32.0,-28.0,0,0,0,0,5,17,17,Draw,1.0,1.0,0.0,2.0
Man City,Everton,2012/2013,2012-12-01,L Probert,2.0,-2.0,0.0,1.0,0.0,-1.0,2.0,-1.0,-1.0,8.0,10.0,-4,-10.0,-18.0,1,0,0,0,5,15,15,Draw,1.0,1.0,0.0,2.0
Arsenal,Everton,2012/2013,2013-04-16,N Swarbrick,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,-1.0,1.0,0.0,4.0,-2,2.0,3.0,1,0,0,0,9,33,33,Draw,0.0,0.0,0.0,0.0
Chelsea,Everton,2012/2013,2013-05-19,A Taylor,-1.0,1.0,0.0,2.0,-2.0,0.0,1.0,0.0,-1.0,2.0,9.0,-3,2.0,5.0,1,0,0,0,10,38,38,Home Win,2.0,1.0,1.0,3.0
Sunderland,Everton,2012/2013,2013-04-20,P Dowd,-4.0,2.0,2.0,1.0,-3.0,2.0,-2.0,-1.0,3.0,-6.0,-22.0,10,-12.0,-9.0,0,0,0,0,9,34,34,Home Win,1.0,0.0,1.0,1.0
Norwich,Everton,2012/2013,2013-02-23,L Mason,-3.0,2.0,1.0,-1.0,-1.0,2.0,-1.0,1.0,0.0,-4.0,-13.0,8,-14.0,-13.0,0,0,0,0,7,27,27,Home Win,2.0,1.0,1.0,3.0
Man United,Everton,2012/2013,2013-02-10,M Halsey,2.0,-1.0,-1.0,1.0,-1.0,0.0,2.0,-2.0,0.0,5.0,20.0,-4,-7.0,0.0,1,0,0,0,7,26,26,Home Win,2.0,0.0,2.0,2.0
Tottenham,Everton,2012/2013,2013-04-07,A Marriner,0.0,-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,6.0,-2,8.0,4.0,1,0,0,0,9,32,31,Draw,2.0,2.0,0.0,4.0
West Ham,Everton,2012/2013,2012-12-22,A Taylor,0.0,-1.0,1.0,2.0,-4.0,2.0,0.0,-3.0,3.0,-3.0,-4.0,5,-8.0,-10.0,0,0,1,0,5,18,18,Home Loss,1.0,2.0,-1.0,3.0
Southampton,Everton,2012/2013,2013-01-21,N Swarbrick,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,3.0,-1.0,-1.0,-15.0,10,-25.0,-14.0,0,0,1,0,6,23,23,Draw,0.0,0.0,0.0,0.0
Liverpool,Sunderland,2012/2013,2013-01-02,P Dowd,1.0,0.0,-1.0,-1.0,2.0,-1.0,0.0,0.0,0.0,2.0,6.0,-4,32.0,15.0,1,0,0,0,6,21,21,Home Win,3.0,0.0,3.0,3.0
Newcastle,Sunderland,2012/2013,2013-04-14,H Webb,3.0,-3.0,0.0,0.0,1.0,-1.0,2.0,-2.0,0.0,0.0,5.0,-4,11.0,4.0,0,0,0,0,9,33,33,Home Loss,0.0,3.0,-3.0,3.0
QPR,Sunderland,2012/2013,2013-03-09,M Jones,-2.0,2.0,0.0,-1.0,2.0,-1.0,1.0,0.0,-1.0,-1.0,-10.0,6,3.0,-1.0,0,0,0,0,8,29,29,Home Win,3.0,1.0,2.0,4.0
Wigan,Sunderland,2012/2013,2013-01-19,A Taylor,-1.0,0.0,1.0,-1.0,0.0,1.0,-2.0,1.0,1.0,-4.0,-6.0,4,-1.0,-11.0,0,0,0,0,6,23,23,Home Loss,2.0,3.0,-1.0,5.0
West Brom,Sunderland,2012/2013,2013-02-23,R East,-2.0,1.0,1.0,-1.0,0.0,1.0,-1.0,0.0,1.0,-3.0,8.0,-4,-3.0,-9.0,0,0,0,0,7,27,27,Home Win,2.0,1.0,1.0,3.0
Aston Villa,Sunderland,2012/2013,2013-04-29,L Probert,2.0,-2.0,0.0,1.0,2.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,3,6.0,7.0,0,0,0,0,9,35,35,Home Win,6.0,1.0,5.0,7.0
Chelsea,Sunderland,2012/2013,2013-04-07,N Swarbrick,3.0,-2.0,-1.0,1.0,1.0,-2.0,3.0,-2.0,-1.0,7.0,24.0,-14,31.0,28.0,1,0,0,0,9,31,32,Home Win,2.0,1.0,1.0,3.0
Norwich,Sunderland,2012/2013,2012-12-02,P Dowd,2.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,2.0,-3.0,4.0,3.0,-3,-12.0,-9.0,0,0,0,0,5,15,14,Home Win,2.0,1.0,1.0,3.0
Man United,Sunderland,2012/2013,2012-12-15,C Foy,4.0,-2.0,-2.0,3.0,-1.0,-2.0,3.0,-1.0,-2.0,6.0,23.0,-14,-10.0,-7.0,1,0,0,0,5,17,17,Home Win,3.0,1.0,2.0,4.0
Tottenham,Sunderland,2012/2013,2013-05-19,A Marriner,2.0,-2.0,0.0,1.0,2.0,-3.0,1.0,0.0,-1.0,5.0,30.0,-12,26.0,13.0,1,0,0,0,10,38,38,Home Win,1.0,0.0,1.0,1.0
Reading,Sunderland,2012/2013,2013-02-02,L Mason,-1.0,2.0,-1.0,-2.0,0.0,2.0,1.0,0.0,-1.0,1.0,-9.0,6,-19.0,-15.0,0,0,1,0,7,25,25,Home Win,2.0,1.0,1.0,3.0
Southampton,Sunderland,2012/2013,2012-12-22,H Webb,2.0,0.0,-2.0,0.0,-1.0,1.0,2.0,0.0,-2.0,6.0,-1.0,0,0.0,-5.0,0,0,1,0,5,17,18,Home Loss,0.0,1.0,-1.0,1.0
Fulham,Tottenham,2012/2013,2012-12-01,C Foy,-1.0,1.0,0.0,-2.0,3.0,-1.0,-2.0,3.0,-1.0,-1.0,-6.0,6,-13.0,-1.0,0,1,0,0,5,15,15,Home Loss,0.0,3.0,-3.0,3.0
Liverpool,Tottenham,2012/2013,2013-03-10,M Oliver,1.0,-2.0,1.0,-2.0,0.0,2.0,-2.0,1.0,1.0,3.0,-12.0,4,10.0,6.0,1,1,0,0,8,29,29,Home Win,3.0,2.0,1.0,5.0
QPR,Tottenham,2012/2013,2013-01-12,L Probert,-2.0,0.0,2.0,-3.0,2.0,1.0,-2.0,-1.0,3.0,-11.0,-26.0,16,-49.0,-47.0,0,1,0,0,6,22,22,Draw,0.0,0.0,0.0,0.0
Wigan,Tottenham,2012/2013,2013-04-27,M Atkinson,0.0,-1.0,1.0,-2.0,1.0,1.0,0.0,0.0,0.0,-2.0,-30.0,14,2.0,2.0,0,1,0,0,9,34,34,Draw,2.0,2.0,0.0,4.0
Stoke,Tottenham,2012/2013,2013-05-12,K Friend,-2.0,0.0,2.0,-1.0,-2.0,3.0,0.0,-2.0,2.0,-4.0,-25.0,6,-11.0,-14.0,0,1,0,0,10,37,37,Home Loss,1.0,2.0,-1.0,3.0
West Brom,Tottenham,2012/2013,2013-02-03,M Clattenburg,-3.0,1.0,2.0,-1.0,-2.0,3.0,-2.0,-2.0,4.0,-8.0,-8.0,4,-26.0,-29.0,0,1,0,0,7,25,25,Home Loss,0.0,1.0,-1.0,1.0
Arsenal,Tottenham,2012/2013,2012-11-17,H Webb,0.0,0.0,0.0,-1.0,2.0,-1.0,0.0,1.0,-1.0,2.0,-1.0,2,0.0,2.0,1,1,0,0,4,12,12,Home Win,5.0,2.0,3.0,7.0
Aston Villa,Tottenham,2012/2013,2012-12-26,M Clattenburg,-2.0,3.0,-1.0,0.0,1.0,-1.0,-1.0,1.0,0.0,-9.0,-12.0,9,-30.0,-24.0,0,1,0,0,5,19,19,Home Loss,0.0,4.0,-4.0,4.0
Chelsea,Tottenham,2012/2013,2013-05-08,M Dean,2.0,-1.0,-1.0,-2.0,0.0,2.0,1.0,-1.0,0.0,3.0,3.0,-1,12.0,7.0,1,1,0,0,10,36,36,Draw,2.0,2.0,0.0,4.0
Everton,Tottenham,2012/2013,2012-12-09,K Friend,-1.0,3.0,-2.0,-2.0,3.0,-1.0,-2.0,3.0,-1.0,-2.0,-3.0,4,12.0,13.0,0,1,0,0,5,16,16,Home Win,2.0,1.0,1.0,3.0
Sunderland,Tottenham,2012/2013,2012-12-29,L Mason,-1.0,1.0,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,-6.0,-11.0,7,-18.0,-15.0,0,1,0,0,5,20,20,Home Loss,1.0,2.0,-1.0,3.0
Swansea,Tottenham,2012/2013,2013-03-30,A Taylor,0.0,-1.0,1.0,-1.0,0.0,1.0,-1.0,0.0,1.0,-5.0,-14.0,5,-34.0,-17.0,0,1,0,0,8,31,31,Home Loss,1.0,2.0,-1.0,3.0
Norwich,Tottenham,2012/2013,2013-01-30,N Swarbrick,-2.0,0.0,2.0,-2.0,1.0,1.0,-3.0,-1.0,4.0,-15.0,-15.0,9,-60.0,-55.0,0,1,0,0,6,24,24,Draw,1.0,1.0,0.0,2.0
West Ham,Tottenham,2012/2013,2013-02-25,H Webb,-1.0,-1.0,2.0,-3.0,-1.0,4.0,-1.0,-2.0,3.0,-8.0,-18.0,7,-20.0,-17.0,0,1,1,0,7,27,27,Home Loss,2.0,3.0,-1.0,5.0
Fulham,Newcastle,2012/2013,2012-12-10,L Mason,-1.0,1.0,0.0,1.0,0.0,-1.0,-1.0,2.0,-1.0,-4.0,0.0,-1,-21.0,-4.0,0,0,0,0,5,16,16,Home Win,2.0,1.0,1.0,3.0
QPR,Newcastle,2012/2013,2013-05-12,L Probert,-3.0,1.0,2.0,1.0,-2.0,1.0,-1.0,0.0,1.0,3.0,-13.0,3,7.0,-3.0,0,0,0,0,10,37,37,Home Loss,1.0,2.0,-1.0,3.0
Wigan,Newcastle,2012/2013,2013-03-17,M Halsey,-3.0,1.0,2.0,0.0,1.0,-1.0,-2.0,2.0,0.0,-6.0,-9.0,7,-9.0,0.0,0,0,0,0,8,29,30,Home Win,2.0,1.0,1.0,3.0
Stoke,Newcastle,2012/2013,2012-11-28,H Webb,1.0,1.0,-2.0,0.0,-2.0,2.0,1.0,1.0,-2.0,4.0,2.0,-3,-16.0,-8.0,0,0,0,0,4,14,14,Home Win,2.0,1.0,1.0,3.0
West Brom,Newcastle,2012/2013,2013-04-20,M Jones,-2.0,1.0,1.0,0.0,1.0,-1.0,-1.0,1.0,0.0,3.0,8.0,-5,-1.0,1.0,0,0,0,0,9,33,34,Draw,1.0,1.0,0.0,2.0
Man City,Newcastle,2012/2013,2013-03-30,N Swarbrick,1.0,1.0,-2.0,2.0,0.0,-2.0,0.0,1.0,-1.0,-1.0,26.0,-12,11.0,14.0,1,0,0,0,8,30,31,Home Win,4.0,0.0,4.0,4.0
Arsenal,Newcastle,2012/2013,2012-12-29,C Foy,1.0,1.0,-2.0,1.0,1.0,-2.0,1.0,1.0,-2.0,4.0,10.0,-11,-14.0,1.0,1,0,0,0,5,19,20,Home Win,7.0,3.0,4.0,10.0
Aston Villa,Newcastle,2012/2013,2013-01-29,M Dean,-1.0,1.0,0.0,1.0,1.0,-2.0,0.0,1.0,-1.0,-1.0,-1.0,1,-14.0,-16.0,0,0,0,0,6,24,24,Home Loss,1.0,2.0,-1.0,3.0
Swansea,Newcastle,2012/2013,2013-03-02,C Pawson,0.0,2.0,-2.0,0.0,2.0,-2.0,-1.0,1.0,0.0,-3.0,7.0,-5,-6.0,-6.0,0,0,0,0,8,28,28,Home Win,1.0,0.0,1.0,1.0
Norwich,Newcastle,2012/2013,2013-01-12,A Taylor,1.0,0.0,-1.0,1.0,3.0,-4.0,0.0,0.0,0.0,4.0,5.0,-4,-19.0,-17.0,0,0,0,0,6,22,22,Draw,0.0,0.0,0.0,0.0
Man United,Newcastle,2012/2013,2012-12-26,M Dean,3.0,0.0,-3.0,4.0,-2.0,-2.0,2.0,1.0,-3.0,5.0,23.0,-12,-3.0,0.0,1,0,0,0,5,19,19,Home Win,4.0,3.0,1.0,7.0
Tottenham,Newcastle,2012/2013,2013-02-09,P Dowd,1.0,2.0,-3.0,1.0,1.0,-2.0,0.0,2.0,-2.0,3.0,18.0,-11,35.0,21.0,1,0,0,0,7,26,26,Home Win,2.0,1.0,1.0,3.0
West Ham,Newcastle,2012/2013,2013-05-04,P Dowd,-1.0,1.0,0.0,1.0,1.0,-2.0,0.0,2.0,-2.0,13.0,5.0,-5,-3.0,2.0,0,0,1,0,10,36,36,Draw,0.0,0.0,0.0,0.0
Southampton,Newcastle,2012/2013,2012-11-25,M Atkinson,-1.0,1.0,0.0,0.0,-4.0,4.0,0.0,-1.0,1.0,-3.0,-6.0,6,-8.0,0.0,0,0,1,0,4,13,13,Home Win,2.0,0.0,2.0,2.0
Fulham,Southampton,2012/2013,2012-12-26,M Oliver,0.0,-1.0,1.0,-1.0,3.0,-2.0,-1.0,0.0,1.0,-8.0,5.0,-3,-19.0,-7.0,0,0,0,1,5,19,18,Draw,1.0,1.0,0.0,2.0
Liverpool,Southampton,2012/2013,2012-12-01,M Oliver,0.0,0.0,0.0,0.0,4.0,-4.0,-1.0,1.0,0.0,0.0,4.0,-6,20.0,14.0,1,0,0,1,5,15,15,Home Win,1.0,0.0,1.0,1.0
